Date,Variação Total (R$),Variação Percentual,Nome
2021-10-28,-116.37000915527342,-0.3448306787426243,VALE3
2021-10-29,-122.6399981689453,-0.36341007547025006,VALE3
2021-11-01,-120.51000091552733,-0.3570984114603589,VALE3
2021-11-03,-136.9799945068359,-0.4059027306333479,VALE3
2021-11-04,-139.2600009155273,-0.412658905726516,VALE3
2021-11-05,-145.13999816894528,-0.4300826685896385,VALE3
2021-11-08,-134.6700045776367,-0.3990577075818198,VALE3
2021-11-09,-139.64999267578122,-0.4138145395910192,VALE3
2021-11-10,-140.39999267578122,-0.4160369593616654,VALE3
2021-11-11,-133.43999359130856,-0.3954129066029828,VALE3
2021-11-12,-132.56999084472653,-0.3928348915302887,VALE3
2021-11-16,-138.4799945068359,-0.4103475701746405,VALE3
2021-11-17,-142.46999999999997,-0.4221708596319672,VALE3
2021-11-18,-150.4799945068359,-0.445906286504981,VALE3
2021-11-19,-145.38000366210935,-0.4307938591937338,VALE3
2021-11-22,-134.7000109863281,-0.39914662336304896,VALE3
2021-11-23,-129.35999176025388,-0.3833229376248375,VALE3
2021-11-24,-124.5299899291992,-0.3690105488760459,VALE3
2021-11-25,-125.96999999999998,-0.37327762467774905,VALE3
2021-11-26,-131.55000183105466,-0.38981243319718695,VALE3
2021-11-29,-128.96999999999997,-0.38216730376033425,VALE3
2021-11-30,-127.62000915527342,-0.37816697530231846,VALE3
2021-12-01,-126.7799899291992,-0.3756778081879847,VALE3
2021-12-02,-117.00000640869139,-0.34669750321122295,VALE3
2021-12-03,-121.85999176025389,-0.3610987399183747,VALE3
2021-12-06,-110.16001007080077,-0.32642904575458787,VALE3
2021-12-07,-108.47999450683592,-0.3214507793487893,VALE3
2021-12-08,-110.18999359130858,-0.32651789371294804,VALE3
2021-12-09,-111.92999908447264,-0.33167392385833594,VALE3
2021-12-10,-110.51999542236327,-0.32749576383786194,VALE3
2021-12-13,-103.8899981689453,-0.3078495812040931,VALE3
2021-12-14,-103.9200045776367,-0.3079384969853223,VALE3
2021-12-15,-105.23998901367186,-0.3118499096621088,VALE3
2021-12-16,-96.14999267578123,-0.2849141928935349,VALE3
2021-12-17,-99.96000549316405,-0.29620412330922463,VALE3
2021-12-20,-102.63000366210936,-0.3041159322668959,VALE3
2021-12-21,-96.45001098632811,-0.28580321506008866,VALE3
2021-12-22,-97.71000549316405,-0.28953686399728584,VALE3
2021-12-23,-100.01999542236327,-0.2963818870488141,VALE3
2021-12-27,-100.62000915527342,-0.29815986355905244,VALE3
2021-12-28,-106.31999084472655,-0.315050199557669,VALE3
2021-12-29,-105.71999999999998,-0.3132722908702995,VALE3
2021-12-30,-103.59000274658202,-0.30696062686040837,VALE3
2022-01-03,-103.46999999999998,-0.3066050315583607,VALE3
2022-01-04,-106.22996704101567,-0.07112010486989473,VALE3
2022-01-05,-93.09004394531254,-0.06232303249399973,VALE3
2022-01-06,-64.8300494384766,-0.04340319443951912,VALE3
2022-01-07,18.329999999999956,0.012271786940890594,VALE3
2022-01-10,0.32999999999995566,0.000220932334451307,VALE3
2022-01-11,28.77003295898433,0.01926130467839915,VALE3
2022-01-12,45.329999999999956,0.030348068850549303,VALE3
2022-01-13,21.92994506835933,0.014681921085888616,VALE3
2022-01-14,30.750043945312456,0.020586906040365394,VALE3
2022-01-17,22.829999999999956,0.015284500592500416,VALE3
2022-01-18,59.909956054687456,0.04010923166073321,VALE3
2022-01-19,94.10998352050777,0.06300587380111256,VALE3
2022-01-20,67.10998352050777,0.044929591891453846,VALE3
2022-01-21,34.710065917968706,0.023238108764297882,VALE3
2022-01-24,15.990049438476518,0.01070520894071425,VALE3
2022-01-25,19.409956054687456,0.012994808796245039,VALE3
2022-01-26,23.73005493164058,0.015887080099111994,VALE3
2022-01-27,27.149961547851518,0.018176679954643005,VALE3
2022-01-28,12.210065917968706,0.008174540506248773,VALE3
2022-01-31,-38.00995056152348,-0.02544735487860339,VALE3
2022-02-01,41.909956054687456,0.028058377054294148,VALE3
2022-02-02,50.55001647949214,0.03384282771930347,VALE3
2022-02-03,49.829999999999956,0.033360782502159125,VALE3
2022-02-04,90.32999999999996,0.0604752053666473,VALE3
2022-02-07,128.6699505615234,0.086143492579702,VALE3
2022-02-08,151.34998901367183,0.10132759512721812,VALE3
2022-02-09,151.7100659179687,0.10156866370615236,VALE3
2022-02-10,195.99004943847652,0.1312137550051058,VALE3
2022-02-11,161.7900219726562,0.10831711286472667,VALE3
2022-02-14,154.5899945068359,0.10349675263400604,VALE3
2022-02-15,105.62997253417964,0.07071841339397578,VALE3
